protein_path,ligand
target_pdbs/5JID_dimer_AB.pdb,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O
target_pdbs/5JID_dimer_AB.pdb,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O
target_pdbs/5JID_dimer_AB.pdb,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
target_pdbs/5JID_dimer_AB.pdb,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F
target_pdbs/5JID_dimer_AB.pdb,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F
target_pdbs/5JID_dimer_AB.pdb,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F
target_pdbs/5JID_dimer_BB.pdb,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O
target_pdbs/5JID_dimer_BB.pdb,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O
target_pdbs/5JID_dimer_BB.pdb,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
target_pdbs/5JID_dimer_BB.pdb,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F
target_pdbs/5JID_dimer_BB.pdb,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F
target_pdbs/5JID_dimer_BB.pdb,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F
target_pdbs/5JID_monomer_A.pdb,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O
target_pdbs/5JID_monomer_A.pdb,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O
target_pdbs/5JID_monomer_A.pdb,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
target_pdbs/5JID_monomer_A.pdb,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F
target_pdbs/5JID_monomer_A.pdb,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F
target_pdbs/5JID_monomer_A.pdb,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F
target_pdbs/5JID_tetramer.pdb,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O
target_pdbs/5JID_tetramer.pdb,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O
target_pdbs/5JID_tetramer.pdb,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
target_pdbs/5JID_tetramer.pdb,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F
target_pdbs/5JID_tetramer.pdb,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F
target_pdbs/5JID_tetramer.pdb,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F
